torch.Size([8, 1600, 3])
tensor([-3.0496, -0.2690, -3.8843])
tensor([ 0.0070, -0.0095,  0.3838])
Epoch 001 | Loss 2.0793
Epoch 002 | Loss 0.9792
Epoch 003 | Loss 0.5140
Epoch 004 | Loss 0.4926
Epoch 005 | Loss 0.4916
Epoch 006 | Loss 0.4862
Epoch 007 | Loss 0.4758
Epoch 008 | Loss 0.4802
Epoch 009 | Loss 0.4836
Epoch 010 | Loss 0.4813
Mean det(R): 1.0000
Epoch 011 | Loss 0.4797
Epoch 012 | Loss 0.4740
Epoch 013 | Loss 0.4834
Epoch 014 | Loss 0.4884
Epoch 015 | Loss 0.4778
Epoch 016 | Loss 0.4778
Epoch 017 | Loss 0.4843
Epoch 018 | Loss 0.4750
Epoch 019 | Loss 0.4810
Epoch 020 | Loss 0.4804
Mean det(R): 1.0000
Epoch 021 | Loss 0.4824
Epoch 022 | Loss 0.4855
Epoch 023 | Loss 0.4803
Epoch 024 | Loss 0.4755
Epoch 025 | Loss 0.4820
Epoch 026 | Loss 0.4695
Epoch 027 | Loss 0.4787
Epoch 028 | Loss 0.4787
Epoch 029 | Loss 0.4785
Epoch 030 | Loss 0.4729
Mean det(R): 1.0000
Epoch 031 | Loss 0.4830
Epoch 032 | Loss 0.4761
Epoch 033 | Loss 0.4777
Epoch 034 | Loss 0.4796
Epoch 035 | Loss 0.4770
Epoch 036 | Loss 0.4759
Epoch 037 | Loss 0.4768
Epoch 038 | Loss 0.4814
Epoch 039 | Loss 0.4789
Epoch 040 | Loss 0.4781
Mean det(R): 1.0000
Epoch 041 | Loss 0.4848
Epoch 042 | Loss 0.4798
Epoch 043 | Loss 0.4815
Epoch 044 | Loss 0.4771
Epoch 045 | Loss 0.4779
Epoch 046 | Loss 0.4749
Epoch 047 | Loss 0.4706
Epoch 048 | Loss 0.4764
Epoch 049 | Loss 0.4744
Epoch 050 | Loss 0.4790
Mean det(R): 1.0000
Epoch 051 | Loss 0.4725
Epoch 052 | Loss 0.4724
Epoch 053 | Loss 0.4830
Epoch 054 | Loss 0.4877
Epoch 055 | Loss 0.4840
Epoch 056 | Loss 0.4813
Epoch 057 | Loss 0.4801
Epoch 058 | Loss 0.4759
Epoch 059 | Loss 0.4664
Epoch 060 | Loss 0.4715
Mean det(R): 1.0000
Epoch 061 | Loss 0.4670
Epoch 062 | Loss 0.4742
Epoch 063 | Loss 0.4776
Epoch 064 | Loss 0.4726
Epoch 065 | Loss 0.4957
Epoch 066 | Loss 0.5006
Epoch 067 | Loss 0.4781
Epoch 068 | Loss 0.4742
Epoch 069 | Loss 0.4691
Epoch 070 | Loss 0.4823
Mean det(R): 1.0000
Epoch 071 | Loss 0.4740
Epoch 072 | Loss 0.4714
Epoch 073 | Loss 0.4768
Epoch 074 | Loss 0.4785
Epoch 075 | Loss 0.4781
Epoch 076 | Loss 0.4708
Epoch 077 | Loss 0.4754
Epoch 078 | Loss 0.4739
Epoch 079 | Loss 0.4780
Epoch 080 | Loss 0.4714
Mean det(R): 1.0000
Epoch 081 | Loss 0.4726
Epoch 082 | Loss 0.4774
Epoch 083 | Loss 0.4638
Epoch 084 | Loss 0.4757
Epoch 085 | Loss 0.4780
Epoch 086 | Loss 0.4680
Epoch 087 | Loss 0.4744
Epoch 088 | Loss 0.4719
Epoch 089 | Loss 0.4749
Epoch 090 | Loss 0.4694
Mean det(R): 1.0000
Epoch 091 | Loss 0.4741
Epoch 092 | Loss 0.4688
Epoch 093 | Loss 0.4749
Epoch 094 | Loss 0.4749
Epoch 095 | Loss 0.4710
Epoch 096 | Loss 0.4674
Epoch 097 | Loss 0.4696
Epoch 098 | Loss 0.4700
Epoch 099 | Loss 0.4646
Epoch 100 | Loss 0.4866
Mean det(R): 1.0000
