torch.Size([8, 1600, 3])
Epoch 001 | Loss 0.2928
Epoch 002 | Loss 0.1396
Epoch 003 | Loss 0.1366
Epoch 004 | Loss 0.1339
Epoch 005 | Loss 0.1312
Epoch 006 | Loss 0.1288
Epoch 007 | Loss 0.1240
Epoch 008 | Loss 0.1215
Epoch 009 | Loss 0.1211
Epoch 010 | Loss 0.1266
Epoch 011 | Loss 0.1162
Epoch 012 | Loss 0.1198
Epoch 013 | Loss 0.1163
Epoch 014 | Loss 0.1162
Epoch 015 | Loss 0.1188
Epoch 016 | Loss 0.1136
Epoch 017 | Loss 0.1126
Epoch 018 | Loss 0.1179
Epoch 019 | Loss 0.1137
Epoch 020 | Loss 0.1142
Epoch 021 | Loss 0.1159
Epoch 022 | Loss 0.1096
Epoch 023 | Loss 0.1097
Epoch 024 | Loss 0.1138
Epoch 025 | Loss 0.1152
Epoch 026 | Loss 0.1124
Epoch 027 | Loss 0.1114
Epoch 028 | Loss 0.1089
Epoch 029 | Loss 0.1132
Epoch 030 | Loss 0.1136
Epoch 031 | Loss 0.1123
Epoch 032 | Loss 0.1105
Epoch 033 | Loss 0.1083
Epoch 034 | Loss 0.1098
Epoch 035 | Loss 0.1094
Epoch 036 | Loss 0.1100
Epoch 037 | Loss 0.1147
Epoch 038 | Loss 0.1121
Epoch 039 | Loss 0.1096
Epoch 040 | Loss 0.1088
Epoch 041 | Loss 0.1054
Epoch 042 | Loss 0.1075
Epoch 043 | Loss 0.1080
Epoch 044 | Loss 0.1085
Epoch 045 | Loss 0.1068
Epoch 046 | Loss 0.1089
Epoch 047 | Loss 0.1057
Epoch 048 | Loss 0.1091
Epoch 049 | Loss 0.1071
Epoch 050 | Loss 0.1043
Epoch 051 | Loss 0.1116
Epoch 052 | Loss 0.1066
Epoch 053 | Loss 0.1099
Epoch 054 | Loss 0.1059
Epoch 055 | Loss 0.1015
Epoch 056 | Loss 0.1119
Epoch 057 | Loss 0.1045
Epoch 058 | Loss 0.1073
Epoch 059 | Loss 0.1074
Epoch 060 | Loss 0.1043
Epoch 061 | Loss 0.1028
Epoch 062 | Loss 0.1080
Epoch 063 | Loss 0.0993
Epoch 064 | Loss 0.1057
Epoch 065 | Loss 0.1028
Epoch 066 | Loss 0.1093
Epoch 067 | Loss 0.1031
Epoch 068 | Loss 0.1044
Epoch 069 | Loss 0.1035
Epoch 070 | Loss 0.1017
Epoch 071 | Loss 0.1034
Epoch 072 | Loss 0.1033
Epoch 073 | Loss 0.1016
Epoch 074 | Loss 0.0992
Epoch 075 | Loss 0.1049
Epoch 076 | Loss 0.1028
Epoch 077 | Loss 0.1012
Epoch 078 | Loss 0.0986
Epoch 079 | Loss 0.1070
Epoch 080 | Loss 0.0984
Epoch 081 | Loss 0.1032
Epoch 082 | Loss 0.1031
Epoch 083 | Loss 0.1009
Epoch 084 | Loss 0.0982
Epoch 085 | Loss 0.0994
Epoch 086 | Loss 0.1014
Epoch 087 | Loss 0.0985
Epoch 088 | Loss 0.1001
Epoch 089 | Loss 0.1008
Epoch 090 | Loss 0.1009
Epoch 091 | Loss 0.0987
Epoch 092 | Loss 0.0965
Epoch 093 | Loss 0.0976
Epoch 094 | Loss 0.0993
Epoch 095 | Loss 0.0963
Epoch 096 | Loss 0.0981
Epoch 097 | Loss 0.0951
Epoch 098 | Loss 0.1030
Epoch 099 | Loss 0.0963
Epoch 100 | Loss 0.0987
